"time","_geo","geo","type_vio","_type_vio","sex_vic","_sex_vic","unit","_unit","value","_flag"
2017,"BE","Belgium","Any violence","ANY","Female","F","Number","NR",,
2018,"BE","Belgium","Any violence","ANY","Female","F","Number","NR",,
2019,"BE","Belgium","Any violence","ANY","Female","F","Number","NR",,
2020,"BE","Belgium","Any violence","ANY","Female","F","Number","NR",,
2021,"BE","Belgium","Any violence","ANY","Female","F","Number","NR",,
2022,"BE","Belgium","Any violence","ANY","Female","F","Number","NR",,
2014,"BE","Belgium","Any violence","ANY","Total","T","Number","NR",,
2015,"BE","Belgium","Any violence","ANY","Total","T","Number","NR",,
2016,"BE","Belgium","Any violence","ANY","Total","T","Number","NR",,
2017,"BE","Belgium","Any violence","ANY","Total","T","Number","NR",,
2018,"BE","Belgium","Any violence","ANY","Total","T","Number","NR",,
2019,"BE","Belgium","Any violence","ANY","Total","T","Number","NR",,
2020,"BE","Belgium","Any violence","ANY","Total","T","Number","NR",,
2021,"BE","Belgium","Any violence","ANY","Total","T","Number","NR",,
2022,"BE","Belgium","Any violence","ANY","Total","T","Number","NR",,
2014,"BG","Bulgaria","Intimate partner violence","IPV","Female","F","Number","NR",,
2015,"BG","Bulgaria","Intimate partner violence","IPV","Female","F","Number","NR",,
2016,"BG","Bulgaria","Intimate partner violence","IPV","Female","F","Number","NR",,
2017,"BG","Bulgaria","Intimate partner violence","IPV","Female","F","Number","NR",,
2018,"BG","Bulgaria","Intimate partner violence","IPV","Female","F","Number","NR",,
2019,"BG","Bulgaria","Intimate partner violence","IPV","Female","F","Number","NR",,
2020,"BG","Bulgaria","Intimate partner violence","IPV","Female","F","Number","NR",,
2021,"BG","Bulgaria","Intimate partner violence","IPV","Female","F","Number","NR",,
2022,"BG","Bulgaria","Intimate partner violence","IPV","Female","F","Number","NR",,
2014,"BG","Bulgaria","Intimate partner violence","IPV","Total","T","Number","NR",,
2015,"BG","Bulgaria","Intimate partner violence","IPV","Total","T","Number","NR",,
2016,"BG","Bulgaria","Intimate partner violence","IPV","Total","T","Number","NR",,
2017,"BG","Bulgaria","Intimate partner violence","IPV","Total","T","Number","NR",,
2018,"BG","Bulgaria","Intimate partner violence","IPV","Total","T","Number","NR",,
2019,"BG","Bulgaria","Intimate partner violence","IPV","Total","T","Number","NR",,
2020,"BG","Bulgaria","Intimate partner violence","IPV","Total","T","Number","NR",,
2021,"BG","Bulgaria","Intimate partner violence","IPV","Total","T","Number","NR",,
2022,"BG","Bulgaria","Intimate partner violence","IPV","Total","T","Number","NR",,
2014,"BG","Bulgaria","Domestic violence","DV","Female","F","Number","NR",,
2015,"BG","Bulgaria","Domestic violence","DV","Female","F","Number","NR",,
2016,"BG","Bulgaria","Domestic violence","DV","Female","F","Number","NR",,
2017,"BG","Bulgaria","Domestic violence","DV","Female","F","Number","NR",,
2018,"BG","Bulgaria","Domestic violence","DV","Female","F","Number","NR",,
2019,"BG","Bulgaria","Domestic violence","DV","Female","F","Number","NR",351,
2020,"BG","Bulgaria","Domestic violence","DV","Female","F","Number","NR",344,
2021,"BG","Bulgaria","Domestic violence","DV","Female","F","Number","NR",380,
2022,"BG","Bulgaria","Domestic violence","DV","Female","F","Number","NR",451,
2014,"BG","Bulgaria","Domestic violence","DV","Total","T","Number","NR",,
2015,"BG","Bulgaria","Domestic violence","DV","Total","T","Number","NR",,
2016,"BG","Bulgaria","Domestic violence","DV","Total","T","Number","NR",,
2017,"BG","Bulgaria","Domestic violence","DV","Total","T","Number","NR",,
2018,"BG","Bulgaria","Domestic violence","DV","Total","T","Number","NR",,
2019,"BG","Bulgaria","Domestic violence","DV","Total","T","Number","NR",399,
2020,"BG","Bulgaria","Domestic violence","DV","Total","T","Number","NR",383,
2021,"BG","Bulgaria","Domestic violence","DV","Total","T","Number","NR",431,
2022,"BG","Bulgaria","Domestic violence","DV","Total","T","Number","NR",550,
2014,"BG","Bulgaria","Any violence","ANY","Female","F","Number","NR",,
2015,"BG","Bulgaria","Any violence","ANY","Female","F","Number","NR",,
2016,"BG","Bulgaria","Any violence","ANY","Female","F","Number","NR",,
2017,"BG","Bulgaria","Any violence","ANY","Female","F","Number","NR",,
2018,"BG","Bulgaria","Any violence","ANY","Female","F","Number","NR",,
2019,"BG","Bulgaria","Any violence","ANY","Female","F","Number","NR",,
2020,"BG","Bulgaria","Any violence","ANY","Female","F","Number","NR",,
2021,"BG","Bulgaria","Any violence","ANY","Female","F","Number","NR",,
2022,"BG","Bulgaria","Any violence","ANY","Female","F","Number","NR",,
2014,"BG","Bulgaria","Any violence","ANY","Total","T","Number","NR",4477,
2015,"BG","Bulgaria","Any violence","ANY","Total","T","Number","NR",4400,
2016,"BG","Bulgaria","Any violence","ANY","Total","T","Number","NR",4084,
2017,"BG","Bulgaria","Any violence","ANY","Total","T","Number","NR",2732,
2018,"BG","Bulgaria","Any violence","ANY","Total","T","Number","NR",4658,
2019,"BG","Bulgaria","Any violence","ANY","Total","T","Number","NR",5066,
2020,"BG","Bulgaria","Any violence","ANY","Total","T","Number","NR",4890,
2021,"BG","Bulgaria","Any violence","ANY","Total","T","Number","NR",4996,
2022,"BG","Bulgaria","Any violence","ANY","Total","T","Number","NR",5455,
2014,"CY","Cyprus","Intimate partner violence","IPV","Female","F","Number","NR",,
2015,"CY","Cyprus","Intimate partner violence","IPV","Female","F","Number","NR",,
2016,"CY","Cyprus","Intimate partner violence","IPV","Female","F","Number","NR",,
2017,"CY","Cyprus","Intimate partner violence","IPV","Female","F","Number","NR",,
2018,"CY","Cyprus","Intimate partner violence","IPV","Female","F","Number","NR",,
2019,"CY","Cyprus","Intimate partner violence","IPV","Female","F","Number","NR",,
2020,"CY","Cyprus","Intimate partner violence","IPV","Female","F","Number","NR",,
2021,"CY","Cyprus","Intimate partner violence","IPV","Female","F","Number","NR",,
2022,"CY","Cyprus","Intimate partner violence","IPV","Female","F","Number","NR",,
2014,"CY","Cyprus","Intimate partner violence","IPV","Total","T","Number","NR",,
2015,"CY","Cyprus","Intimate partner violence","IPV","Total","T","Number","NR",,
2016,"CY","Cyprus","Intimate partner violence","IPV","Total","T","Number","NR",,
2017,"CY","Cyprus","Intimate partner violence","IPV","Total","T","Number","NR",,
2018,"CY","Cyprus","Intimate partner violence","IPV","Total","T","Number","NR",,
2019,"CY","Cyprus","Intimate partner violence","IPV","Total","T","Number","NR",,
2020,"CY","Cyprus","Intimate partner violence","IPV","Total","T","Number","NR",,
2021,"CY","Cyprus","Intimate partner violence","IPV","Total","T","Number","NR",,
2022,"CY","Cyprus","Intimate partner violence","IPV","Total","T","Number","NR",,
2014,"CY","Cyprus","Domestic violence","DV","Female","F","Number","NR",698,
2015,"CY","Cyprus","Domestic violence","DV","Female","F","Number","NR",755,
2016,"CY","Cyprus","Domestic violence","DV","Female","F","Number","NR",616,
2017,"CY","Cyprus","Domestic violence","DV","Female","F","Number","NR",611,
2018,"CY","Cyprus","Domestic violence","DV","Female","F","Number","NR",677,
2019,"CY","Cyprus","Domestic violence","DV","Female","F","Number","NR",933,
2020,"CY","Cyprus","Domestic violence","DV","Female","F","Number","NR",1557,
2021,"CY","Cyprus","Domestic violence","DV","Female","F","Number","NR",2711,
2022,"CY","Cyprus","Domestic violence","DV","Female","F","Number","NR",2614,
2014,"CY","Cyprus","Domestic violence","DV","Total","T","Number","NR",948,
2015,"CY","Cyprus","Domestic violence","DV","Total","T","Number","NR",1034,
2016,"CY","Cyprus","Domestic violence","DV","Total","T","Number","NR",910,
2017,"CY","Cyprus","Domestic violence","DV","Total","T","Number","NR",873,
2018,"CY","Cyprus","Domestic violence","DV","Total","T","Number","NR",1025,
2019,"CY","Cyprus","Domestic violence","DV","Total","T","Number","NR",1298,
2020,"CY","Cyprus","Domestic violence","DV","Total","T","Number","NR",2031,
2021,"CY","Cyprus","Domestic violence","DV","Total","T","Number","NR",3578,
2022,"CY","Cyprus","Domestic violence","DV","Total","T","Number","NR",3435,
2014,"CY","Cyprus","Any violence","ANY","Female","F","Number","NR",,
2015,"CY","Cyprus","Any violence","ANY","Female","F","Number","NR",,
2016,"CY","Cyprus","Any violence","ANY","Female","F","Number","NR",,
2017,"CY","Cyprus","Any violence","ANY","Female","F","Number","NR",,
2018,"CY","Cyprus","Any violence","ANY","Female","F","Number","NR",,
2019,"CY","Cyprus","Any violence","ANY","Female","F","Number","NR",,
2020,"CY","Cyprus","Any violence","ANY","Female","F","Number","NR",,
2021,"CY","Cyprus","Any violence","ANY","Female","F","Number","NR",,
2022,"CY","Cyprus","Any violence","ANY","Female","F","Number","NR",,
2014,"CY","Cyprus","Any violence","ANY","Total","T","Number","NR",,
2015,"CY","Cyprus","Any violence","ANY","Total","T","Number","NR",,
2016,"CY","Cyprus","Any violence","ANY","Total","T","Number","NR",,
2017,"CY","Cyprus","Any violence","ANY","Total","T","Number","NR",,
2018,"CY","Cyprus","Any violence","ANY","Total","T","Number","NR",,
2019,"CY","Cyprus","Any violence","ANY","Total","T","Number","NR",,
2020,"CY","Cyprus","Any violence","ANY","Total","T","Number","NR",,
2021,"CY","Cyprus","Any violence","ANY","Total","T","Number","NR",,
2022,"CY","Cyprus","Any violence","ANY","Total","T","Number","NR",,
2014,"CZ","Czechia","Intimate partner violence","IPV","Female","F","Number","NR",,
2015,"CZ","Czechia","Intimate partner violence","IPV","Female","F","Number","NR",,
2016,"CZ","Czechia","Intimate partner violence","IPV","Female","F","Number","NR",,
2017,"CZ","Czechia","Intimate partner violence","IPV","Female","F","Number","NR",,
2018,"CZ","Czechia","Intimate partner violence","IPV","Female","F","Number","NR",,
2019,"CZ","Czechia","Intimate partner violence","IPV","Female","F","Number","NR",1036,"d"
2020,"CZ","Czechia","Intimate partner violence","IPV","Female","F","Number","NR",906,"d"
2021,"CZ","Czechia","Intimate partner violence","IPV","Female","F","Number","NR",650,"d"
2022,"CZ","Czechia","Intimate partner violence","IPV","Female","F","Number","NR",622,"d"
2014,"CZ","Czechia","Intimate partner violence","IPV","Total","T","Number","NR",,
2015,"CZ","Czechia","Intimate partner violence","IPV","Total","T","Number","NR",,
2016,"CZ","Czechia","Intimate partner violence","IPV","Total","T","Number","NR",,
2017,"CZ","Czechia","Intimate partner violence","IPV","Total","T","Number","NR",,
2018,"CZ","Czechia","Intimate partner violence","IPV","Total","T","Number","NR",,
2019,"CZ","Czechia","Intimate partner violence","IPV","Total","T","Number","NR",1136,"d"
2020,"CZ","Czechia","Intimate partner violence","IPV","Total","T","Number","NR",1017,"d"
2021,"CZ","Czechia","Intimate partner violence","IPV","Total","T","Number","NR",737,"d"
2022,"CZ","Czechia","Intimate partner violence","IPV","Total","T","Number","NR",689,"d"
2014,"CZ","Czechia","Domestic violence","DV","Female","F","Number","NR",,
2015,"CZ","Czechia","Domestic violence","DV","Female","F","Number","NR",,
2016,"CZ","Czechia","Domestic violence","DV","Female","F","Number","NR",,
2017,"CZ","Czechia","Domestic violence","DV","Female","F","Number","NR",,
2018,"CZ","Czechia","Domestic violence","DV","Female","F","Number","NR",,
2019,"CZ","Czechia","Domestic violence","DV","Female","F","Number","NR",908,"d"
2020,"CZ","Czechia","Domestic violence","DV","Female","F","Number","NR",814,"d"
2021,"CZ","Czechia","Domestic violence","DV","Female","F","Number","NR",709,"d"
2022,"CZ","Czechia","Domestic violence","DV","Female","F","Number","NR",782,"d"
2014,"CZ","Czechia","Domestic violence","DV","Total","T","Number","NR",,
2015,"CZ","Czechia","Domestic violence","DV","Total","T","Number","NR",,
2016,"CZ","Czechia","Domestic violence","DV","Total","T","Number","NR",,
2017,"CZ","Czechia","Domestic violence","DV","Total","T","Number","NR",,
2018,"CZ","Czechia","Domestic violence","DV","Total","T","Number","NR",,
2019,"CZ","Czechia","Domestic violence","DV","Total","T","Number","NR",1245,"d"
2020,"CZ","Czechia","Domestic violence","DV","Total","T","Number","NR",1152,"d"
2021,"CZ","Czechia","Domestic violence","DV","Total","T","Number","NR",1074,"d"
2022,"CZ","Czechia","Domestic violence","DV","Total","T","Number","NR",1130,"d"
2014,"CZ","Czechia","Any violence","ANY","Female","F","Number","NR",,
2015,"CZ","Czechia","Any violence","ANY","Female","F","Number","NR",,
2016,"CZ","Czechia","Any violence","ANY","Female","F","Number","NR",,
2017,"CZ","Czechia","Any violence","ANY","Female","F","Number","NR",,
2018,"CZ","Czechia","Any violence","ANY","Female","F","Number","NR",,
2019,"CZ","Czechia","Any violence","ANY","Female","F","Number","NR",4364,"d"
2020,"CZ","Czechia","Any violence","ANY","Female","F","Number","NR",3654,"d"
2021,"CZ","Czechia","Any violence","ANY","Female","F","Number","NR",3568,"d"
2022,"CZ","Czechia","Any violence","ANY","Female","F","Number","NR",3718,"d"
2014,"CZ","Czechia","Any violence","ANY","Total","T","Number","NR",,
2015,"CZ","Czechia","Any violence","ANY","Total","T","Number","NR",,
2016,"CZ","Czechia","Any violence","ANY","Total","T","Number","NR",,
2017,"CZ","Czechia","Any violence","ANY","Total","T","Number","NR",,
2018,"CZ","Czechia","Any violence","ANY","Total","T","Number","NR",,
2019,"CZ","Czechia","Any violence","ANY","Total","T","Number","NR",9268,"d"
2020,"CZ","Czechia","Any violence","ANY","Total","T","Number","NR",7859,"d"
2021,"CZ","Czechia","Any violence","ANY","Total","T","Number","NR",7423,"d"
2022,"CZ","Czechia","Any violence","ANY","Total","T","Number","NR",8110,"d"
2014,"DE","Germany","Intimate partner violence","IPV","Female","F","Number","NR",,
2015,"DE","Germany","Intimate partner violence","IPV","Female","F","Number","NR",104290,"d"
2016,"DE","Germany","Intimate partner violence","IPV","Female","F","Number","NR",108956,"d"
2017,"DE","Germany","Intimate partner violence","IPV","Female","F","Number","NR",113965,"d"
2018,"DE","Germany","Intimate partner violence","IPV","Female","F","Number","NR",114393,"d"
2019,"DE","Germany","Intimate partner violence","IPV","Female","F","Number","NR",114903,"d"
2020,"DE","Germany","Intimate partner violence","IPV","Female","F","Number","NR",119164,"d"
2021,"DE","Germany","Intimate partner violence","IPV","Female","F","Number","NR",115342,"d"
2022,"DE","Germany","Intimate partner violence","IPV","Female","F","Number","NR",126349,"d"
2014,"DE","Germany","Intimate partner violence","IPV","Total","T","Number","NR",126230,"d"
2015,"DE","Germany","Intimate partner violence","IPV","Total","T","Number","NR",127457,"d"
2016,"DE","Germany","Intimate partner violence","IPV","Total","T","Number","NR",133080,"d"
2017,"DE","Germany","Intimate partner violence","IPV","Total","T","Number","NR",138893,"d"
2018,"DE","Germany","Intimate partner violence","IPV","Total","T","Number","NR",140755,"d"
2019,"DE","Germany","Intimate partner violence","IPV","Total","T","Number","NR",141792,"d"
2020,"DE","Germany","Intimate partner violence","IPV","Total","T","Number","NR",148031,"d"
2021,"DE","Germany","Intimate partner violence","IPV","Total","T","Number","NR",143604,"d"
2022,"DE","Germany","Intimate partner violence","IPV","Total","T","Number","NR",157818,"d"
2014,"DE","Germany","Domestic violence","DV","Female","F","Number","NR",,
2015,"DE","Germany","Domestic violence","DV","Female","F","Number","NR",,
2016,"DE","Germany","Domestic violence","DV","Female","F","Number","NR",,
2017,"DE","Germany","Domestic violence","DV","Female","F","Number","NR",,
2018,"DE","Germany","Domestic violence","DV","Female","F","Number","NR",153450,"d"
2019,"DE","Germany","Domestic violence","DV","Female","F","Number","NR",154260,"d"
2020,"DE","Germany","Domestic violence","DV","Female","F","Number","NR",160856,"d"
2021,"DE","Germany","Domestic violence","DV","Female","F","Number","NR",157303,"d"
2022,"DE","Germany","Domestic violence","DV","Female","F","Number","NR",171076,"d"
2014,"DE","Germany","Domestic violence","DV","Total","T","Number","NR",,
2015,"DE","Germany","Domestic violence","DV","Total","T","Number","NR",,
2016,"DE","Germany","Domestic violence","DV","Total","T","Number","NR",,
2017,"DE","Germany","Domestic violence","DV","Total","T","Number","NR",,
2018,"DE","Germany","Domestic violence","DV","Total","T","Number","NR",212896,"d"
2019,"DE","Germany","Domestic violence","DV","Total","T","Number","NR",214481,"d"
2020,"DE","Germany","Domestic violence","DV","Total","T","Number","NR",225694,"d"
2021,"DE","Germany","Domestic violence","DV","Total","T","Number","NR",221615,"d"
2022,"DE","Germany","Domestic violence","DV","Total","T","Number","NR",240547,"d"
2014,"DE","Germany","Any violence","ANY","Female","F","Number","NR",,
2015,"DE","Germany","Any violence","ANY","Female","F","Number","NR",,
2016,"DE","Germany","Any violence","ANY","Female","F","Number","NR",,
2017,"DE","Germany","Any violence","ANY","Female","F","Number","NR",380046,"d"
2018,"DE","Germany","Any violence","ANY","Female","F","Number","NR",390732,"d"
2019,"DE","Germany","Any violence","ANY","Female","F","Number","NR",333304,"d"
2020,"DE","Germany","Any violence","ANY","Female","F","Number","NR",338637,"d"
2021,"DE","Germany","Any violence","ANY","Female","F","Number","NR",333634,"d"
2022,"DE","Germany","Any violence","ANY","Female","F","Number","NR",417867,"d"
2014,"DE","Germany","Any violence","ANY","Total","T","Number","NR",,
2015,"DE","Germany","Any violence","ANY","Total","T","Number","NR",,
2016,"DE","Germany","Any violence","ANY","Total","T","Number","NR",,
2017,"DE","Germany","Any violence","ANY","Total","T","Number","NR",937068,"d"
2018,"DE","Germany","Any violence","ANY","Total","T","Number","NR",957695,"d"
2019,"DE","Germany","Any violence","ANY","Total","T","Number","NR",819793,"d"
2020,"DE","Germany","Any violence","ANY","Total","T","Number","NR",813270,"d"
2021,"DE","Germany","Any violence","ANY","Total","T","Number","NR",786061,"d"
2022,"DE","Germany","Any violence","ANY","Total","T","Number","NR",972878,"d"
2014,"DK","Denmark","Intimate partner violence","IPV","Female","F","Number","NR",,
2015,"DK","Denmark","Intimate partner violence","IPV","Female","F","Number","NR",,
2016,"DK","Denmark","Intimate partner violence","IPV","Female","F","Number","NR",,
2017,"DK","Denmark","Intimate partner violence","IPV","Female","F","Number","NR",,
2018,"DK","Denmark","Intimate partner violence","IPV","Female","F","Number","NR",,
2019,"DK","Denmark","Intimate partner violence","IPV","Female","F","Number","NR",,
2020,"DK","Denmark","Intimate partner violence","IPV","Female","F","Number","NR",,
2021,"DK","Denmark","Intimate partner violence","IPV","Female","F","Number","NR",,
2022,"DK","Denmark","Intimate partner violence","IPV","Female","F","Number","NR",,
2014,"DK","Denmark","Intimate partner violence","IPV","Total","T","Number","NR",,
2015,"DK","Denmark","Intimate partner violence","IPV","Total","T","Number","NR",,
2016,"DK","Denmark","Intimate partner violence","IPV","Total","T","Number","NR",,
2017,"DK","Denmark","Intimate partner violence","IPV","Total","T","Number","NR",,
2018,"DK","Denmark","Intimate partner violence","IPV","Total","T","Number","NR",,
2019,"DK","Denmark","Intimate partner violence","IPV","Total","T","Number","NR",,
2020,"DK","Denmark","Intimate partner violence","IPV","Total","T","Number","NR",,
2021,"DK","Denmark","Intimate partner violence","IPV","Total","T","Number","NR",,
2022,"DK","Denmark","Intimate partner violence","IPV","Total","T","Number","NR",,
2014,"DK","Denmark","Domestic violence","DV","Female","F","Number","NR",,
2015,"DK","Denmark","Domestic violence","DV","Female","F","Number","NR",,
2016,"DK","Denmark","Domestic violence","DV","Female","F","Number","NR",,
2017,"DK","Denmark","Domestic violence","DV","Female","F","Number","NR",,
2018,"DK","Denmark","Domestic violence","DV","Female","F","Number","NR",,
2019,"DK","Denmark","Domestic violence","DV","Female","F","Number","NR",,
2020,"DK","Denmark","Domestic violence","DV","Female","F","Number","NR",,
2021,"DK","Denmark","Domestic violence","DV","Female","F","Number","NR",,
2022,"DK","Denmark","Domestic violence","DV","Female","F","Number","NR",,
2014,"DK","Denmark","Domestic violence","DV","Total","T","Number","NR",,
2015,"DK","Denmark","Domestic violence","DV","Total","T","Number","NR",,
2016,"DK","Denmark","Domestic violence","DV","Total","T","Number","NR",,
2017,"DK","Denmark","Domestic violence","DV","Total","T","Number","NR",,
2018,"DK","Denmark","Domestic violence","DV","Total","T","Number","NR",,
2019,"DK","Denmark","Domestic violence","DV","Total","T","Number","NR",,
2020,"DK","Denmark","Domestic violence","DV","Total","T","Number","NR",,
2021,"DK","Denmark","Domestic violence","DV","Total","T","Number","NR",,
2022,"DK","Denmark","Domestic violence","DV","Total","T","Number","NR",,
2014,"DK","Denmark","Any violence","ANY","Female","F","Number","NR",38090,
2015,"DK","Denmark","Any violence","ANY","Female","F","Number","NR",35745,
2016,"DK","Denmark","Any violence","ANY","Female","F","Number","NR",43937,
2017,"DK","Denmark","Any violence","ANY","Female","F","Number","NR",44051,
2018,"DK","Denmark","Any violence","ANY","Female","F","Number","NR",36056,
2019,"DK","Denmark","Any violence","ANY","Female","F","Number","NR",35954,
2020,"DK","Denmark","Any violence","ANY","Female","F","Number","NR",28165,
2021,"DK","Denmark","Any violence","ANY","Female","F","Number","NR",28216,
2022,"DK","Denmark","Any violence","ANY","Female","F","Number","NR",31580,
2014,"DK","Denmark","Any violence","ANY","Total","T","Number","NR",63281,
2015,"DK","Denmark","Any violence","ANY","Total","T","Number","NR",59737,
2016,"DK","Denmark","Any violence","ANY","Total","T","Number","NR",73294,
2017,"DK","Denmark","Any violence","ANY","Total","T","Number","NR",73393,
2018,"DK","Denmark","Any violence","ANY","Total","T","Number","NR",64092,
2019,"DK","Denmark","Any violence","ANY","Total","T","Number","NR",63918,
